Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
WRAnthony MillerBAL,Anthony Miller,WR,"$1,030,000 ",Baltimore Ravens,WR,BAL,7
LBAnthony NelsonTB,Anthony Nelson,OLB,"$2,036,000 ",Tampa Bay Buccaneers,LB,TB,9
LBAnthony PittmanDET,Anthony Pittman,ILB,"$1,030,000 ",Detroit Lions,LB,DET,8
QBAnthony RichardsonIND,Anthony Richardson,QB,"$9,271,099 ",Indianapolis Colts,QB,IND,11
TEAnthony TorresLAR,Anthony Torres,TE,"$843,333 ",Los Angeles Rams,TE,LAR,8
LBAnthony Walker Jr.TB,Anthony Walker Jr.,ILB,"$1,197,500 ",Tampa Bay Buccaneers,LB,TB,9
DBAntoine Winfield Jr.TB,Antoine Winfield Jr.,FS,"$9,136,000 ",Tampa Bay Buccaneers,DB,TB,9
RBAntonio GibsonNE,Antonio Gibson,RB,"$4,500,000 ",New England Patriots,RB,NE,14
LBAntonio GrierTB,Antonio Grier,ILB,"$960,000 ",Tampa Bay Buccaneers,LB,TB,9
DBAntonio JohnsonJAC,Antonio Johnson,S,"$1,105,458 ",Jacksonville Jaguars,DB,JAC,8
WRAntwane Wells Jr.NYG,Antwane Wells Jr.,WR,"$848,333 ",New York Giants,WR,NYG,14
DLAntwaun Powell-RylandPHI,Antwaun Powell-Ryland,DE,"$883,570 ",Philadelphia Eagles,DL,PHI,9
DBAr'Darius WashingtonBAL,Ar'Darius Washington,S,"$3,263,000 ",Baltimore Ravens,DB,BAL,7
LBArden KeyTEN,Arden Key,OLB,"$9,285,294 ",Tennessee Titans,LB,TEN,10
WRArian SmithNYJ,Arian Smith,WR,"$1,100,413 ",New York Jets,WR,NYJ,9
DLArik ArmsteadJAC,Arik Armstead,DE,"$7,400,000 ",Jacksonville Jaguars,DL,JAC,8
LBArnold EbiketieATL,Arnold Ebiketie,OLB,"$2,805,947 ",Atlanta Falcons,LB,ATL,5
LBArron MosbyGB,Arron Mosby,OLB,"$1,030,000 ",Green Bay Packers,LB,GB,5
DBArt GreenNYG,Art Green,CB,"$960,000 ",New York Giants,DB,NYG,14
DBArthur MauletHOU,Arthur Maulet,CB,"$1,105,000 ",Houston Texans,DB,HOU,6
WRAshton DulinIND,Ashton Dulin,WR,"$2,720,000 ",Indianapolis Colts,WR,IND,11
DLAshton GillotteKC,Ashton Gillotte,DE,"$1,226,295 ",Kansas City Chiefs,DL,KC,10
RBAshton JeantyLV,Ashton Jeanty,RB,"$6,526,511 ",Las Vegas Raiders,RB,LV,8
DBAshtyn DavisMIA,Ashtyn Davis,S,"$2,500,000 ",Miami Dolphins,DB,MIA,12
RBAudric EstiméDEN,Audric Estimé,RB,"$1,044,781 ",Denver Broncos,RB,DEN,12
LBAustin AjiakeIND,Austin Ajiake,ILB,"$840,000 ",Indianapolis Colts,LB,IND,11
DLAustin BookerCHI,Austin Booker,DE,"$1,047,285 ",Chicago Bears,DL,CHI,5
RBAustin EkelerWAS,Austin Ekeler,RB,"$4,960,000 ",Washington Commanders,RB,WAS,12
TEAustin HooperNE,Austin Hooper,TE,"$5,000,000 ",New England Patriots,TE,NE,14
LBAustin KeysMIN,Austin Keys,LB,"$845,000 ",Minnesota Vikings,LB,MIN,6
PAustin McNamaraNYJ,Austin McNamara,P,"$840,000 ",New York Jets,P,NYJ,9
WRAustin TrammellJAC,Austin Trammell,WR,"$1,030,000 ",Jacksonville Jaguars,WR,JAC,8
RBAvery WilliamsPHI,Avery Williams,RB,"$1,267,500 ",Philadelphia Eagles,RB,PHI,9
DBAvonte MaddoxDET,Avonte Maddox,CB,"$1,197,500 ",Detroit Lions,DB,DET,8
DBAzareye'h ThomasNYJ,Azareye'h Thomas,CB,"$1,198,845 ",New York Jets,DB,NYJ,9
LBAzeez Al-ShaairHOU,Azeez Al-Shaair,LB,"$5,259,529 ",Houston Texans,LB,HOU,6
LBAzeez OjulariPHI,Azeez Ojulari,OLB,"$1,672,000 ",Philadelphia Eagles,LB,PHI,9
DBB.J. AdamsMIA,B.J. Adams,CB,"$846,666 ",Miami Dolphins,DB,MIA,12
DLB.J. GreenJAC,B.J. Green,DE,"$840,833 ",Jacksonville Jaguars,DL,JAC,8
DLB.J. HillCIN,B.J. Hill,DT,"$8,625,490 ",Cincinnati Bengals,DL,CIN,10
DLB.J. OjulariARI,B.J. Ojulari,DE,"$2,344,802 ",Arizona Cardinals,DL,ARI,8
QBBailey ZappeKC,Bailey Zappe,QB,"$1,100,000 ",Kansas City Chiefs,QB,KC,10
QBBaker MayfieldTB,Baker Mayfield,QB,"$23,875,000 ",Tampa Bay Buccaneers,QB,TB,9
LBBam Martin-ScottCAR,Bam Martin-Scott,LB,"$845,000 ",Carolina Panthers,LB,CAR,14
LBBaron BrowningARI,Baron Browning,OLB,"$5,495,000 ",Arizona Cardinals,LB,ARI,8
LBBarrett CarterCIN,Barrett Carter,LB,"$1,085,529 ",Cincinnati Bengals,LB,CIN,10
DLBarryn SorrellGB,Barryn Sorrell,DE,"$1,075,463 ",Green Bay Packers,DL,GB,5
DLBasil OkoyeBAL,Basil Okoye,DT,"$840,000 ",Baltimore Ravens,DL,BAL,7
DBBeanie BishopPIT,Beanie Bishop,CB,"$968,333 ",Pittsburgh Steelers,DB,PIT,5
DBBeau BradeBAL,Beau Brade,S,"$968,333 ",Baltimore Ravens,DB,BAL,7
WRBeaux CollinsNYG,Beaux Collins,WR,"$852,000 ",New York Giants,WR,NYG,14
KBen SaulsPIT,Ben Sauls,K,"$846,666 ",Pittsburgh Steelers,K,PIT,5
TEBen SimsGB,Ben Sims,TE,"$1,030,000 ",Green Bay Packers,TE,GB,5
TEBen SinnottWAS,Ben Sinnott,TE,"$1,642,716 ",Washington Commanders,TE,WAS,12
WRBen SkowronekPIT,Ben Skowronek,WR,"$1,710,000 ",Pittsburgh Steelers,WR,PIT,5
DLBen StilleMIA,Ben Stille,DT,"$1,100,000 ",Miami Dolphins,DL,MIA,12
LBBen VanSumerenPHI,Ben VanSumeren,ILB,"$1,055,000 ",Philadelphia Eagles,LB,PHI,9
QBBen WooldridgeNE,Ben Wooldridge,QB,"$842,000 ",New England Patriots,QB,NE,14
TEBen YurosekMIN,Ben Yurosek,TE,"$846,666 ",Minnesota Vikings,TE,MIN,6
DLBenito JonesMIA,Benito Jones,DT,"$2,000,000 ",Miami Dolphins,DL,MIA,12
DBBenjamin MorrisonTB,Benjamin Morrison,CB,"$1,493,812 ",Tampa Bay Buccaneers,DB,TB,9
DBBenjamin St-JusteLAC,Benjamin St-Juste,CB,"$2,500,000 ",Los Angeles Chargers,DB,LAC,12
LBBenton WhitleyARI,Benton Whitley,OLB,"$1,100,000 ",Arizona Cardinals,LB,ARI,8
RBBhayshul TutenJAC,Bhayshul Tuten,RB,"$1,109,132 ",Jacksonville Jaguars,RB,JAC,8
RBBijan RobinsonATL,Bijan Robinson,RB,"$5,988,693 ",Atlanta Falcons,RB,ATL,5
DLBilal NicholsARI,Bilal Nichols,DE,"$7,830,000 ",Arizona Cardinals,DL,ARI,8
DBBilhal KoneBAL,Bilhal Kone,CB,"$909,286 ",Baltimore Ravens,DB,BAL,7
DLBill NortonLAR,Bill Norton,DT,"$841,000 ",Los Angeles Rams,DL,LAR,8
