Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
LBDarrell TaylorHOU,Darrell Taylor,OLB,"$4,970,588 ",Houston Texans,LB,HOU,6
DBDarren HallARI,Darren Hall,CB,"$1,100,000 ",Arizona Cardinals,DB,ARI,8
TEDarren WallerMIA,Darren Waller,TE,"$2,000,000 ",Miami Dolphins,TE,MIA,12
DBDarrick ForrestBUF,Darrick Forrest,S,"$1,197,500 ",Buffalo Bills,DB,BUF,7
RBDarrynton EvansBUF,Darrynton Evans,RB,"$1,070,000 ",Buffalo Bills,RB,BUF,7
WRDavante AdamsLAR,Davante Adams,WR,"$12,000,000 ",Los Angeles Rams,WR,LAR,8
WRDavid BellCLE,David Bell,WR,"$1,392,942 ",Cleveland Browns,WR,CLE,9
LBDavid GbendaTEN,David Gbenda,LB,"$844,166 ",Tennessee Titans,LB,TEN,10
TEDavid Martin-RobinsonTEN,David Martin-Robinson,TE,"$962,500 ",Tennessee Titans,TE,TEN,10
RBDavid MontgomeryDET,David Montgomery,RB,"$8,280,833 ",Detroit Lions,RB,DET,8
WRDavid MooreCAR,David Moore,WR,"$1,197,500 ",Carolina Panthers,WR,CAR,14
TEDavid NjokuCLE,David Njoku,TE,"$11,436,058 ",Cleveland Browns,TE,CLE,9
LBDavid OjaboBAL,David Ojabo,OLB,"$2,516,538 ",Baltimore Ravens,LB,BAL,7
DLDavid OnyemataATL,David Onyemata,DT,"$16,925,000 ",Atlanta Falcons,DL,ATL,5
WRDavid SillsATL,David Sills,WR,"$1,100,000 ",Atlanta Falcons,WR,ATL,5
TEDavid ThomasNO,David Thomas,TE,"$1,176,000 ",New Orleans Saints,TE,NO,11
DBDavion RossTEN,Davion Ross,CB,"$843,333 ",Tennessee Titans,DB,TEN,10
TEDavis AllenLAR,Davis Allen,TE,"$1,091,244 ",Los Angeles Rams,TE,LAR,8
QBDavis MillsHOU,Davis Mills,QB,"$4,983,000 ",Houston Texans,QB,HOU,6
DLDavon GodchauxNO,Davon Godchaux,DT,"$1,944,000 ",New Orleans Saints,DL,NO,11
DLDaVon HamiltonJAC,DaVon Hamilton,DT,"$10,808,000 ",Jacksonville Jaguars,DL,JAC,8
TEDawson KnoxBUF,Dawson Knox,TE,"$14,568,000 ",Buffalo Bills,TE,BUF,7
DLDawuane SmootJAC,Dawuane Smoot,DE,"$1,500,000 ",Jacksonville Jaguars,DL,JAC,8
DBDax HillCIN,Dax Hill,CB,"$3,712,231 ",Cincinnati Bengals,DB,CIN,10
DLDayo OdeyingboCHI,Dayo Odeyingbo,DE,"$8,000,000 ",Chicago Bears,DL,CHI,5
RBDe'Von AchaneMIA,De'Von Achane,RB,"$1,482,941 ",Miami Dolphins,RB,MIA,12
DBDean ClarkNYJ,Dean Clark,S,"$846,666 ",New York Jets,DB,NYJ,9
WRDeandre CarterCLE,Deandre Carter,WR,"$1,197,500 ",Cleveland Browns,WR,CLE,9
WRDeAndre HopkinsBAL,DeAndre Hopkins,WR,"$2,004,000 ",Baltimore Ravens,WR,BAL,7
DBDeane LeonardLAC,Deane Leonard,CB,"$1,124,916 ",Los Angeles Chargers,DB,LAC,12
LBDeAngelo MaloneATL,DeAngelo Malone,OLB,"$1,663,958 ",Atlanta Falcons,LB,ATL,5
DBDeantre PrinceJAC,Deantre Prince,CB,"$1,043,057 ",Jacksonville Jaguars,DB,JAC,8
DLDeatrich WiseWAS,Deatrich Wise,DE,"$3,160,000 ",Washington Commanders,DL,WAS,12
DBDecamerion RichardsonLV,Decamerion Richardson,CB,"$1,160,254 ",Las Vegas Raiders,DB,LV,8
DBDecobie DurantLAR,Decobie Durant,CB,"$3,532,085 ",Los Angeles Rams,DB,LAR,8
DBDee AlfordATL,Dee Alford,CB,"$1,490,000 ",Atlanta Falcons,DB,ATL,5
WRDee WilliamsNYG,Dee Williams,WR,"$960,000 ",New York Giants,WR,NYG,14
LBDee WintersSF,Dee Winters,LB,"$1,063,334 ",San Francisco 49ers,LB,SF,14
WRDeebo Samuel Sr.WAS,Deebo Samuel Sr.,WR,"$5,156,105 ",Washington Commanders,WR,WAS,12
RBDeeJay DallasARI,DeeJay Dallas,RB,"$3,083,333 ",Arizona Cardinals,RB,ARI,8
DLDeForest BucknerIND,DeForest Buckner,DT,"$26,600,000 ",Indianapolis Colts,DL,IND,11
RBDeion HankinsCHI,Deion Hankins,RB,"$840,000 ",Chicago Bears,RB,CHI,5
LBDeion JonesTB,Deion Jones,OLB,"$1,030,000 ",Tampa Bay Buccaneers,LB,TB,9
LBDel'Shawn PhillipsLAC,Del'Shawn Phillips,OLB,"$2,000,000 ",Los Angeles Chargers,LB,LAC,12
DBDelarrin Turner-YellDEN,Delarrin Turner-Yell,S,"$1,183,264 ",Denver Broncos,DB,DEN,12
DBDell PettusNE,Dell Pettus,S,"$963,000 ",New England Patriots,DB,NE,14
DBDemani RichardsonCAR,Demani Richardson,S,"$960,000 ",Carolina Panthers,DB,CAR,14
DBDeMarcco HellamsATL,DeMarcco Hellams,S,"$1,056,575 ",Atlanta Falcons,DB,ATL,5
DLDeMarcus LawrenceSEA,DeMarcus Lawrence,DE,"$7,683,333 ",Seattle Seahawks,DL,SEA,8
WRDemarcus RobinsonSF,Demarcus Robinson,WR,"$2,144,000 ",San Francisco 49ers,WR,SF,14
LBDemario DavisNO,Demario Davis,ILB,"$6,932,000 ",New Orleans Saints,LB,NO,11
WRDemario DouglasNE,Demario Douglas,WR,"$1,063,333 ",New England Patriots,WR,NE,14
LBDeMarvin LealPIT,DeMarvin Leal,OLB,"$1,650,376 ",Pittsburgh Steelers,LB,PIT,5
LBDeMarvion OvershownDAL,DeMarvion Overshown,LB,"$1,470,007 ",Dallas Cowboys,LB,DAL,10
WRDemetric FeltonWAS,Demetric Felton,WR,"$1,030,000 ",Washington Commanders,WR,WAS,12
LBDemetrius Flannigan-FowlesNYG,Demetrius Flannigan-Fowles,ILB,"$1,197,500 ",New York Giants,LB,NYG,14
LBDemetrius Knight Jr.CIN,Demetrius Knight Jr.,LB,"$1,638,636 ",Cincinnati Bengals,LB,CIN,10
DLDenico AutryHOU,Denico Autry,DE,"$6,588,235 ",Houston Texans,DL,HOU,6
LBDennis GardeckJAC,Dennis Gardeck,OLB,"$1,705,882 ",Jacksonville Jaguars,LB,JAC,8
WRDennis HoustonTB,Dennis Houston,WR,"$840,000 ",Tampa Bay Buccaneers,WR,TB,9
DBDenzel BurkeARI,Denzel Burke,CB,"$920,054 ",Arizona Cardinals,DB,ARI,8
LBDenzel PerrymanLAC,Denzel Perryman,ILB,"$2,266,765 ",Los Angeles Chargers,LB,LAC,12
DBDenzel WardCLE,Denzel Ward,CB,"$24,560,505 ",Cleveland Browns,DB,CLE,9
DBDeommodore LenoirSF,Deommodore Lenoir,CB,"$5,831,765 ",San Francisco 49ers,DB,SF,14
DBDeon BushKC,Deon Bush,S,"$1,030,000 ",Kansas City Chiefs,DB,KC,10
WRDeon CainBUF,Deon Cain,WR,"$960,000 ",Buffalo Bills,WR,BUF,7
DLDeone WalkerBUF,Deone Walker,DT,"$1,101,760 ",Buffalo Bills,DL,BUF,7
DBDeonte BanksNYG,Deonte Banks,CB,"$3,703,471 ",New York Giants,DB,NYG,14
LBDequan JacksonMIA,Dequan Jackson,LB,"$840,000 ",Miami Dolphins,LB,MIA,12
DLDerek BarnettHOU,Derek Barnett,DE,"$3,985,294 ",Houston Texans,DL,HOU,6
DBDerek Stingley Jr.HOU,Derek Stingley Jr.,CB,"$12,027,366 ",Houston Texans,DB,HOU,6
DLDerick HallSEA,Derick Hall,DE,"$2,486,067 ",Seattle Seahawks,DL,SEA,8
DBDerion KendrickLAR,Derion Kendrick,CB,"$1,030,000 ",Los Angeles Rams,DB,LAR,8
WRDerius DavisLAC,Derius Davis,WR,"$1,207,983 ",Los Angeles Chargers,WR,LAC,12
LBDerrick BarnesDET,Derrick Barnes,OLB,"$2,524,000 ",Detroit Lions,LB,DET,8
DLDerrick BrownCAR,Derrick Brown,DT,"$18,740,000 ",Carolina Panthers,DL,CAR,14
DBDerrick CanteenSF,Derrick Canteen,S,"$840,000 ",San Francisco 49ers,DB,SF,14
DLDerrick HarmonPIT,Derrick Harmon,DT,"$3,267,928 ",Pittsburgh Steelers,DL,PIT,5
RBDerrick HenryBAL,Derrick Henry,RB,"$8,499,000 ",Baltimore Ravens,RB,BAL,7
LBDerrick McLendonMIA,Derrick McLendon,OLB,"$840,000 ",Miami Dolphins,LB,MIA,12
DLDerrick NnadiNYJ,Derrick Nnadi,DT,"$1,197,500 ",New York Jets,DL,NYJ,9
DBDerwin James Jr.LAC,Derwin James Jr.,SS,"$23,856,400 ",Los Angeles Chargers,DB,LAC,12
QBDeshaun WatsonCLE,Deshaun Watson,QB,"$35,971,514 ",Cleveland Browns,QB,CLE,9
DBDeshon ElliottPIT,Deshon Elliott,S,"$3,920,000 ",Pittsburgh Steelers,DB,PIT,5
DLDesjuan JohnsonLAR,Desjuan Johnson,DT,"$1,049,444 ",Los Angeles Rams,DL,LAR,8
DLDeslin AlexandreGB,Deslin Alexandre,DE,"$840,000 ",Green Bay Packers,DL,GB,5
DLDesmond EvansTEN,Desmond Evans,DE,"$843,333 ",Tennessee Titans,DL,TEN,10
DBDesmond IgbinosunBAL,Desmond Igbinosun,CB,"$840,333 ",Baltimore Ravens,DB,BAL,7
DLDesmond LittleIND,Desmond Little,DE,"$843,333 ",Indianapolis Colts,DL,IND,11
QBDesmond RidderCIN,Desmond Ridder,QB,"$1,100,000 ",Cincinnati Bengals,QB,CIN,10
DLDesmond WatsonTB,Desmond Watson,DT,"$846,666 ",Tampa Bay Buccaneers,DL,TB,9
RBDeuce VaughnDAL,Deuce Vaughn,RB,"$1,063,334 ",Dallas Cowboys,RB,DAL,10
WRDevaughn VeleNO,Devaughn Vele,WR,"$986,120 ",New Orleans Saints,WR,NO,11
LBDevin BushCLE,Devin Bush,OLB,"$1,795,000 ",Cleveland Browns,LB,CLE,9
TEDevin CulpTB,Devin Culp,TE,"$981,546 ",Tampa Bay Buccaneers,TE,TB,9
WRDevin DuvernayCHI,Devin Duvernay,WR,"$1,197,500 ",Chicago Bears,WR,CHI,5
LBDevin HarperPIT,Devin Harper,ILB,"$1,030,000 ",Pittsburgh Steelers,LB,PIT,5
QBDevin LearyBAL,Devin Leary,QB,"$840,000 ",Baltimore Ravens,QB,BAL,7
LBDevin LloydJAC,Devin Lloyd,ILB,"$4,116,193 ",Jacksonville Jaguars,LB,JAC,8
RBDevin NealNO,Devin Neal,RB,"$902,828 ",New Orleans Saints,RB,NO,11
RBDevin SingletaryNYG,Devin Singletary,RB,"$6,250,000 ",New York Giants,RB,NYG,14
LBDevin WhiteLV,Devin White,ILB,"$1,030,000 ",Las Vegas Raiders,LB,LV,8
DBDevon KeyDEN,Devon Key,S,"$960,000 ",Denver Broncos,DB,DEN,12
DBDevon WitherspoonSEA,Devon Witherspoon,CB,"$8,689,405 ",Seattle Seahawks,DB,SEA,8
DLDevonta DavisIND,Devonta Davis,DT,"$841,000 ",Indianapolis Colts,DL,IND,11
WRDeVonta SmithPHI,DeVonta Smith,WR,"$7,524,510 ",Philadelphia Eagles,WR,PHI,9
DLDevonte WyattGB,Devonte Wyatt,DT,"$4,092,195 ",Green Bay Packers,DL,GB,5
WRDevontez WalkerBAL,Devontez Walker,WR,"$1,159,463 ",Baltimore Ravens,WR,BAL,7
DLDeWayne CarterBUF,DeWayne Carter,DT,"$1,276,829 ",Buffalo Bills,DL,BUF,7
DLDexter Lawrence IINYG,Dexter Lawrence II,DT,"$23,664,012 ",New York Giants,DL,NYG,14
WRDez FitzpatrickLAC,Dez Fitzpatrick,WR,"$1,030,000 ",Los Angeles Chargers,WR,LAC,12
DBDicaprio BootleDET,Dicaprio Bootle,CB,"$1,030,000 ",Detroit Lions,DB,DET,8
QBDillon GabrielCLE,Dillon Gabriel,QB,"$1,132,058 ",Cleveland Browns,QB,CLE,9
WRDiontae JohnsonCLE,Diontae Johnson,WR,"$1,030,000 ",Cleveland Browns,WR,CLE,9
LBDivine DeabloATL,Divine Deablo,ILB,"$4,940,000 ",Atlanta Falcons,LB,ATL,5
WRDJ CharkATL,DJ Chark,WR,"$1,075,000 ",Atlanta Falcons,WR,ATL,5
RBDJ GiddensIND,DJ Giddens,RB,"$946,186 ",Indianapolis Colts,RB,IND,11
WRDJ MontgomeryIND,DJ Montgomery,WR,"$1,030,000 ",Indianapolis Colts,WR,IND,11
WRDJ MooreCHI,DJ Moore,WR,"$24,900,000 ",Chicago Bears,WR,CHI,5
TEDJ Thomas-JonesPIT,DJ Thomas-Jones,TE,"$850,000 ",Pittsburgh Steelers,TE,PIT,5
QBDJ UiagaleleiLAC,DJ Uiagalelei,QB,"$841,000 ",Los Angeles Chargers,QB,LAC,12
WRDK MetcalfPIT,DK Metcalf,WR,"$11,000,000 ",Pittsburgh Steelers,WR,PIT,5
DBDom JonesCLE,Dom Jones,CB,"$843,333 ",Cleveland Browns,DB,CLE,9
DLDomenique DavisPIT,Domenique Davis,DT,"$840,000 ",Pittsburgh Steelers,DL,PIT,5
WRDominic LovettDET,Dominic Lovett,WR,"$866,693 ",Detroit Lions,WR,DET,8
TEDominique DafneyCAR,Dominique Dafney,TE,"$1,030,000 ",Carolina Panthers,TE,CAR,14
DBDominique HamptonWAS,Dominique Hampton,S,"$1,038,321 ",Washington Commanders,DB,WAS,12
DLDominique RobinsonCHI,Dominique Robinson,DE,"$1,168,289 ",Chicago Bears,DL,CHI,5
LBDondrea TillmanDEN,Dondrea Tillman,OLB,"$960,000 ",Denver Broncos,LB,DEN,12
DBDoneiko SlaughterJAC,Doneiko Slaughter,S,"$845,000 ",Jacksonville Jaguars,DB,JAC,8
RBDonovan EdwardsNYJ,Donovan Edwards,RB,"$846,666 ",New York Jets,RB,NYJ,9
DLDonovan EzeiruakuDAL,Donovan Ezeiruaku,DE,"$1,846,379 ",Dallas Cowboys,DL,DAL,10
DBDonovan McMillonCLE,Donovan McMillon,S,"$843,333 ",Cleveland Browns,DB,CLE,9
WRDonovan Peoples-JonesNO,Donovan Peoples-Jones,WR,"$1,030,000 ",New Orleans Saints,WR,NO,11
DBDonovan WilsonDAL,Donovan Wilson,S,"$8,650,000 ",Dallas Cowboys,DB,DAL,10
WRDont'e Thornton Jr.LV,Dont'e Thornton Jr.,WR,"$1,102,725 ",Las Vegas Raiders,WR,LV,8
WRDontae FlemingMIN,Dontae Fleming,WR,"$843,333 ",Minnesota Vikings,WR,MIN,6
DBDontae ManningATL,Dontae Manning,CB,"$843,333 ",Atlanta Falcons,DB,ATL,5
WRDontavian JacksonMIN,Dontavian Jackson,WR,"$960,000 ",Minnesota Vikings,WR,MIN,6
WRDontayvion WicksGB,Dontayvion Wicks,WR,"$1,105,637 ",Green Bay Packers,WR,GB,5
DBDonte JacksonLAC,Donte Jackson,CB,"$4,500,000 ",Los Angeles Chargers,DB,LAC,12
DBDonte KentPIT,Donte Kent,CB,"$873,364 ",Pittsburgh Steelers,DB,PIT,5
DLDorance ArmstrongWAS,Dorance Armstrong,DE,"$10,180,000 ",Washington Commanders,DL,WAS,12
LBDorian MausiMIN,Dorian Mausi,LB,"$841,666 ",Minnesota Vikings,LB,MIN,6
WRDorian SingerJAC,Dorian Singer,WR,"$840,833 ",Jacksonville Jaguars,WR,JAC,8
DBDorian StrongBUF,Dorian Strong,CB,"$911,339 ",Buffalo Bills,DB,BUF,7
QBDorian Thompson-RobinsonPHI,Dorian Thompson-Robinson,QB,"$1,030,000 ",Philadelphia Eagles,QB,PHI,9
LBDorian WilliamsBUF,Dorian Williams,OLB,"$1,468,038 ",Buffalo Bills,LB,BUF,7
TEDrake DabneyTEN,Drake Dabney,TE,"$840,000 ",Tennessee Titans,TE,TEN,10
WRDrake LondonATL,Drake London,WR,"$6,851,876 ",Atlanta Falcons,WR,ATL,5
QBDrake MayeNE,Drake Maye,QB,"$8,327,219 ",New England Patriots,QB,NE,14
LBDrake ThomasSEA,Drake Thomas,LB,"$1,030,000 ",Seattle Seahawks,LB,SEA,8
LBDre GreenlawDEN,Dre Greenlaw,ILB,"$5,816,666 ",Denver Broncos,LB,DEN,12
DLDre'Mont JonesTEN,Dre'Mont Jones,DE,"$8,500,000 ",Tennessee Titans,DL,TEN,10
QBDresser WinnLAR,Dresser Winn,QB,"$960,000 ",Los Angeles Rams,QB,LAR,8
QBDrew LockSEA,Drew Lock,QB,"$2,250,000 ",Seattle Seahawks,QB,SEA,8
TEDrew SampleCIN,Drew Sample,TE,"$2,750,000 ",Cincinnati Bengals,TE,CIN,10
LBDrew SandersDEN,Drew Sanders,LB,"$1,564,017 ",Denver Broncos,LB,DEN,12
LBDrue TranquillKC,Drue Tranquill,LB,"$8,500,000 ",Kansas City Chiefs,LB,KC,10
DBDuke ShelleyIND,Duke Shelley,CB,"$1,030,000 ",Indianapolis Colts,DB,IND,11
TEDurham SmytheCHI,Durham Smythe,TE,"$2,500,000 ",Chicago Bears,TE,CHI,5
KDustin HopkinsCLE,Dustin Hopkins,K,"$2,848,500 ",Cleveland Browns,K,CLE,9
DLDvon J-ThomasTB,Dvon J-Thomas,DT,"$840,000 ",Tampa Bay Buccaneers,DL,TB,9
DBDwight McGlothernMIN,Dwight McGlothern,CB,"$963,333 ",Minnesota Vikings,DB,MIN,6
WRDyami BrownJAC,Dyami Brown,WR,"$9,985,294 ",Jacksonville Jaguars,WR,JAC,8
TEDylan CookPIT,Dylan Cook,TE,"$960,000 ",Pittsburgh Steelers,TE,PIT,5
WRDylan DrummondATL,Dylan Drummond,WR,"$840,000 ",Atlanta Falcons,WR,ATL,5
DLDylan HortonHOU,Dylan Horton,DE,"$1,230,259 ",Houston Texans,DL,HOU,6
RBDylan LaubeLV,Dylan Laube,RB,"$998,798 ",Las Vegas Raiders,RB,LV,8
RBDylan SampsonCLE,Dylan Sampson,RB,"$1,072,641 ",Cleveland Browns,RB,CLE,9
TEE.J. JenkinsPHI,E.J. Jenkins,TE,"$960,000 ",Philadelphia Eagles,TE,PHI,9
LBE.J. SpeedHOU,E.J. Speed,OLB,"$3,470,588 ",Houston Texans,LB,HOU,6
DLEarnest BrownDAL,Earnest Brown,DE,"$1,100,000 ",Dallas Cowboys,DL,DAL,10
LBEaston Mascarenas-ArnoldCLE,Easton Mascarenas-Arnold,LB,"$843,333 ",Cleveland Browns,LB,CLE,9
QBEaston StickATL,Easton Stick,QB,"$1,197,500 ",Atlanta Falcons,QB,ATL,5
DLEd OliverBUF,Ed Oliver,DT,"$11,240,000 ",Buffalo Bills,DL,BUF,7
DLEddie GoldmanWAS,Eddie Goldman,DT,"$1,030,000 ",Washington Commanders,DL,WAS,12
LBEdefuan UlofoshioBUF,Edefuan Ulofoshio,OLB,"$1,038,506 ",Buffalo Bills,LB,BUF,7
LBEdgerrin CooperGB,Edgerrin Cooper,LB,"$1,954,300 ",Green Bay Packers,LB,GB,5
WREfton Chism IIINE,Efton Chism III,WR,"$848,333 ",New England Patriots,WR,NE,14
DBEkow Boye-DoeARI,Ekow Boye-Doe,CB,"$960,000 ",Arizona Cardinals,DB,ARI,8
LBEku LeotaPIT,Eku Leota,OLB,"$1,030,000 ",Pittsburgh Steelers,LB,PIT,5
LBElandon RobertsLV,Elandon Roberts,ILB,"$3,010,000 ",Las Vegas Raiders,LB,LV,8
DBEli AppleSF,Eli Apple,CB,"$1,030,000 ",San Francisco 49ers,DB,SF,14
DLEli MostaertJAC,Eli Mostaert,DT,"$840,833 ",Jacksonville Jaguars,DL,JAC,8
WREli PancolJAC,Eli Pancol,WR,"$845,333 ",Jacksonville Jaguars,WR,JAC,8
DBEli RicksPHI,Eli Ricks,CB,"$1,033,334 ",Philadelphia Eagles,DB,PHI,9
LBElias NealLAR,Elias Neal,ILB,"$960,000 ",Los Angeles Rams,LB,LAR,8
WRElic AyomanorTEN,Elic Ayomanor,WR,"$1,006,454 ",Tennessee Titans,WR,TEN,10
TEElijah ArroyoSEA,Elijah Arroyo,TE,"$1,602,430 ",Seattle Seahawks,TE,SEA,8
DBElijah CampbellMIA,Elijah Campbell,S,"$1,337,500 ",Miami Dolphins,DB,MIA,12
DLElijah ChatmanNYG,Elijah Chatman,DT,"$960,333 ",New York Giants,DL,NYG,14
WRElijah CooksPHI,Elijah Cooks,WR,"$960,000 ",Philadelphia Eagles,WR,PHI,9
RBElijah DotsonATL,Elijah Dotson,RB,"$960,000 ",Atlanta Falcons,RB,ATL,5
DLElijah GarciaNYG,Elijah Garcia,DE,"$1,030,000 ",New York Giants,DL,NYG,14
DBElijah HicksCHI,Elijah Hicks,CB,"$1,119,252 ",Chicago Bears,DB,CHI,5
TEElijah HigginsARI,Elijah Higgins,TE,"$1,030,000 ",Arizona Cardinals,TE,ARI,8
DBElijah JonesARI,Elijah Jones,CB,"$1,292,163 ",Arizona Cardinals,DB,ARI,8
RBElijah MitchellKC,Elijah Mitchell,RB,"$1,750,000 ",Kansas City Chiefs,RB,KC,10
DBElijah MoldenLAC,Elijah Molden,S,"$3,666,666 ",Los Angeles Chargers,DB,LAC,12
WRElijah MooreBUF,Elijah Moore,WR,"$2,500,000 ",Buffalo Bills,WR,BUF,7
LBElijah PonderNE,Elijah Ponder,LB,"$845,000 ",New England Patriots,LB,NE,14
DLElijah RobertsTB,Elijah Roberts,DE,"$942,448 ",Tampa Bay Buccaneers,DL,TB,9
DLElijah SimmonsARI,Elijah Simmons,DT,"$851,666 ",Arizona Cardinals,DL,ARI,8
RBElijah YoungKC,Elijah Young,RB,"$841,000 ",Kansas City Chiefs,RB,KC,10
WRElijhah BadgerKC,Elijhah Badger,WR,"$840,000 ",Kansas City Chiefs,WR,KC,10
LBElliott BrownARI,Elliott Brown,LB,"$840,000 ",Arizona Cardinals,LB,ARI,8
RBEmani BaileyCAR,Emani Bailey,RB,"$840,000 ",Carolina Panthers,RB,CAR,14
RBEmanuel WilsonGB,Emanuel Wilson,RB,"$1,030,000 ",Green Bay Packers,RB,GB,5
DBEmany JohnsonLAC,Emany Johnson,S,"$840,000 ",Los Angeles Chargers,DB,LAC,12
RBEmari DemercadoARI,Emari Demercado,RB,"$1,035,000 ",Arizona Cardinals,RB,ARI,8
WREmeka EgbukaTB,Emeka Egbuka,WR,"$3,304,133 ",Tampa Bay Buccaneers,WR,TB,9
DBEmmanuel ForbesLAR,Emmanuel Forbes,CB,"$2,150,688 ",Los Angeles Rams,DB,LAR,8
DLEmmanuel OgbahJAC,Emmanuel Ogbah,DE,"$3,220,588 ",Jacksonville Jaguars,DL,JAC,8
DBEnnis RakestrawDET,Ennis Rakestraw,CB,"$1,473,806 ",Detroit Lions,DB,DET,8
WREquanimeous St. BrownSF,Equanimeous St. Brown,WR,"$1,030,000 ",San Francisco 49ers,WR,SF,14
DLEric BanksTB,Eric Banks,DE,"$1,030,000 ",Tampa Bay Buccaneers,DL,TB,9
RBEric GrayNYG,Eric Gray,RB,"$1,091,244 ",New York Giants,RB,NYG,14
DLEric GregoryCIN,Eric Gregory,DT,"$850,000 ",Cincinnati Bengals,DL,CIN,10
DLEric JohnsonIND,Eric Johnson,DT,"$1,100,000 ",Indianapolis Colts,DL,IND,11
DBEric MurrayJAC,Eric Murray,S,"$3,666,666 ",Jacksonville Jaguars,DB,JAC,8
TEEric SaubertSEA,Eric Saubert,TE,"$1,197,500 ",Seattle Seahawks,TE,SEA,8
DBEric StokesLV,Eric Stokes,CB,"$3,500,000 ",Las Vegas Raiders,DB,LV,8
DLEric WattsNYJ,Eric Watts,DE,"$966,666 ",New York Jets,DL,NYJ,9
LBEric WilsonMIN,Eric Wilson,ILB,"$2,600,000 ",Minnesota Vikings,LB,MIN,6
TEErick AllCIN,Erick All,TE,"$1,158,276 ",Cincinnati Bengals,TE,CIN,10
DBErick HallettDET,Erick Hallett,S,"$840,000 ",Detroit Lions,DB,DET,8
WRErik EzukanmaMIA,Erik Ezukanma,WR,"$1,100,000 ",Miami Dolphins,WR,MIA,12
LBErnest Jones IVSEA,Ernest Jones IV,ILB,"$5,283,333 ",Seattle Seahawks,LB,SEA,8
DLEsezi OtomewoPIT,Esezi Otomewo,DE,"$1,030,000 ",Pittsburgh Steelers,DL,PIT,5
DBEthan BonnerMIA,Ethan Bonner,CB,"$1,030,000 ",Miami Dolphins,DB,MIA,12
DLEthan DownsJAC,Ethan Downs,DE,"$843,333 ",Jacksonville Jaguars,DL,JAC,8
PEthan EvansLAR,Ethan Evans,P,"$1,057,001 ",Los Angeles Rams,P,LAR,8
DBEthan RobinsonMIA,Ethan Robinson,CB,"$845,000 ",Miami Dolphins,DB,MIA,12
LBEugene AsanteMIA,Eugene Asante,LB,"$843,333 ",Miami Dolphins,LB,MIA,12
DLEvan AndersonSF,Evan Anderson,DT,"$960,000 ",San Francisco 49ers,DL,SF,14
TEEvan EngramDEN,Evan Engram,TE,"$5,956,666 ",Denver Broncos,TE,DEN,12
RBEvan HullPIT,Evan Hull,RB,"$960,000 ",Pittsburgh Steelers,RB,PIT,5
KEvan McPhersonCIN,Evan McPherson,K,"$4,583,333 ",Cincinnati Bengals,K,CIN,10
DBEvan WilliamsGB,Evan Williams,S,"$1,160,720 ",Green Bay Packers,DB,GB,5
DLEyioma UwazurikeDEN,Eyioma Uwazurike,DE,"$1,221,467 ",Denver Broncos,DL,DEN,12
LBEzekiel TurnerDET,Ezekiel Turner,OLB,"$1,030,000 ",Detroit Lions,LB,DET,8
DLFabien LovettKC,Fabien Lovett,DT,"$840,000 ",Kansas City Chiefs,DL,KC,10
DLFadil DiggsNO,Fadil Diggs,DE,"$865,418 ",New Orleans Saints,DL,NO,11
DLFatorma MulbahNYJ,Fatorma Mulbah,DT,"$842,500 ",New York Jets,DL,NYJ,9
TEFeleipe FranksATL,Feleipe Franks,TE,"$1,420,000 ",Atlanta Falcons,TE,ATL,5
DLFelix Anudike-UzomahKC,Felix Anudike-Uzomah,DE,"$3,223,041 ",Kansas City Chiefs,DL,KC,10
DLFoley FatukasiHOU,Foley Fatukasi,DT,"$2,823,529 ",Houston Texans,DL,HOU,6
TEFoster MoreauNO,Foster Moreau,TE,"$4,634,000 ",New Orleans Saints,TE,NO,11
LBFoyesade OluokunJAC,Foyesade Oluokun,LB,"$11,466,353 ",Jacksonville Jaguars,LB,JAC,8
LBFrancisco MauigoaNYJ,Francisco Mauigoa,LB,"$938,632 ",New York Jets,LB,NYJ,9
RBFrank Gore Jr.BUF,Frank Gore Jr.,RB,"$844,000 ",Buffalo Bills,RB,BUF,7
LBFrankie LuvuWAS,Frankie Luvu,LB,"$12,540,000 ",Washington Commanders,LB,WAS,12
LBFred WarnerSF,Fred Warner,ILB,"$16,058,000 ",San Francisco 49ers,LB,SF,14
DLGabe HallPHI,Gabe Hall,DE,"$840,000 ",Philadelphia Eagles,DL,PHI,9
DBGabe Jeudy-LallyTEN,Gabe Jeudy-Lally,CB,"$960,000 ",Tennessee Titans,DB,TEN,10
LBGabriel MurphyMIN,Gabriel Murphy,OLB,"$840,000 ",Minnesota Vikings,LB,MIN,6
WRGage LarvadainCLE,Gage Larvadain,WR,"$843,333 ",Cleveland Browns,WR,CLE,9
QBGardner MinshewKC,Gardner Minshew,QB,"$1,170,000 ",Kansas City Chiefs,QB,KC,10
LBGarmon RandolphLAC,Garmon Randolph,OLB,"$846,666 ",Los Angeles Chargers,LB,LAC,12
"DBGarnett Hollis, Jr.GB","Garnett Hollis, Jr.",CB,"$840,000 ",Green Bay Packers,DB,GB,5
WRGarrett GreeneTB,Garrett Greene,WR,"$842,500 ",Tampa Bay Buccaneers,WR,TB,9
LBGarrett NelsonDEN,Garrett Nelson,LB,"$840,000 ",Denver Broncos,LB,DEN,12
