Player,Team,TruePos,Snaps,Solo Tkl,Ast. Tkl,TFL,QB Hits,PD,FF,FR,INT,SACK,Big3 FFPTS,FantPros FFPTS,FBGuys FFPTS,D-UP FFPTS,Big3 FFPTS/SNAP,,,,,,,
Von Miller,WAS,ED,,1.4,1.2,0.29,0.21,0,0,0,0,0.21,4.70,4.85,3.84,4.75,#DIV/0!,,,,,,,
Grover Stewart,IND,DT,,2.1,1.7,0.07,0.09,0,0,0,0,0.07,4.57,4.85,4.71,4.65,0.011,,,,,,,
Mike Green,BAL,ED,425,1.6,1.1,0.14,0.21,0,0,0,0,0.19,4.48,4.27,3.99,4.58,,,,,,,,
Kayvon Thibodeaux,NYG,ED,545,1.6,1.2,0.16,0.14,0,0,0,0,0.19,4.45,4.38,4.06,4.60,,,,,,,,
Tyree Wilson,LV,ED,,1.4,1.1,0.21,0.24,0,0,0,0,0.19,4.43,4.11,3.69,4.45,,,,,,,,
Joseph Ossai,CIN,ED,430,1.4,1.1,0.16,0.18,0,0,0,0,0.21,4.31,4.09,3.77,4.41,,,,,,,,
Arnold Ebiketie,ATL,ED,507,1.2,1.6,0.17,0.21,0,0,0,0,0.16,4.26,3.98,3.64,4.11,,,,,,,,
Lukas Van Ness,GB,ED,405,1.3,1.6,0.12,0.18,0,0,0,0,0.16,4.23,4.03,3.79,4.13,,,,,,,,
Alex Wright,CLE,ED,,1.6,0.7,0.17,0.23,0,0,0,0,0.17,4.18,3.95,3.61,4.34,,,,,,,,
Anfernee Jennings,NE,ED,635,1.4,1.3,0.11,0.18,0,0,0,0,0.17,4.16,3.98,3.76,4.17,,,,,,,,
James Pearce,ATL,ED,606,1.7,1.3,0.14,0.17,0,0,0,0,0.07,4.07,4.09,3.81,4.07,,,,,,,,
Boye Mafe,SEA,ED,629,1.2,1.3,0.15,0.19,0,0,0,0,0.18,4.06,3.80,3.50,4.02,,,,,,,,
Patrick Jones,CAR,ED,715,1.1,1.4,0.17,0.14,0,0,0,0,0.16,3.85,3.68,3.34,3.79,,,,,,,,
