Player,Team,TruePos,Solo Tkl,Ast. Tkl,TFL,QB Hits,PD,FF,FR,INT,SACK,Big3 FFPTS,FantPros FFPTS,FBGuys FFPTS,D-UP FFPTS,Big3 FFPTS/SNAP,,,,,,
Bryan Cook,KC,S,4.1,1.1,0.06,0.00,0.09,0.00,0.00,0.07,0.00,6.91,7.58,7.46,7.60,#REF!,,,,,,
Sydney Brown,PHI,S,3.2,1.3,0.04,0.01,0.26,0.01,0.00,0.11,0.00,6.86,6.84,6.75,7.27,#REF!,,,,,,
Tony Adams,NYJ,S,3.7,2,0.07,0.02,0.07,0.00,0.00,0.00,0.00,6.66,7.30,7.16,6.99,#REF!,,,,,,
Jevon Holland,NYG,S,3.4,1.4,0.09,0.07,0.10,0.00,0.00,0.09,0.00,6.65,6.93,6.75,6.99,#REF!,,,,,,
Lathan Ransom,CAR,S,2.3,2.2,0.16,0.01,0.21,0.00,0.00,0.11,0.01,6.58,6.29,6.01,6.44,,,,,,,
Garrett Williams,ARI,CB,2.4,1.3,0.00,0.00,0.29,0.00,0.00,0.22,0.01,6.51,6.11,6.15,6.79,#REF!,,,,,,
Taylor Rapp,BUF,S,3.3,2.1,0.04,0.00,0.06,0.00,0.00,0.07,0.00,6.48,7.05,6.97,6.74,#REF!,,,,,,
Isaiah Pola-Mao,LV,S,3.4,1.4,0.04,0.00,0.07,0.00,0.00,0.12,0.00,6.42,6.94,6.86,6.88,#REF!,,,,,,
Will Johnson,ARI,CB,2.5,1.3,0.00,0.00,0.28,0.00,0.00,0.19,0.01,6.41,6.10,6.14,6.72,#REF!,,,,,,
Jaire Alexander,BAL,CB,2.4,1.1,0.00,0.00,0.29,0.00,0.00,0.21,0.01,6.30,5.91,5.95,6.63,,,,,,,
Jahdae Barron,DEN,CB,2.2,1.3,0.09,0.00,0.44,0.00,0.00,0.08,0.01,6.29,5.52,5.38,6.43,#REF!,,,,,,
Minkah Fitzpatrick,MIA,S,2.4,2.3,0.09,0.03,0.10,0.00,0.00,0.12,0.00,6.18,6.26,6.08,6.08,#REF!,,,,,,
Calen Bullock,HOU,S,2.6,1.9,0.07,0.00,0.20,0.00,0.00,0.06,0.00,6.05,6.07,5.93,6.15,#REF!,,,,,,
Eric Murray,JAX,S,3.8,1.6,0.03,0.00,0.00,0.00,0.00,0.00,0.00,6.04,6.96,6.90,6.56,#REF!,,,,,,
Christian Benford,BUF,CB,2.8,1.2,0.06,0.00,0.29,0.00,0.00,0.04,0.01,6.03,5.86,5.78,6.38,#REF!,,,,,,
Amani Hooker,TEN,S,3.1,1.4,0.08,0.02,0.07,0.00,0.00,0.07,0.00,5.91,6.32,6.16,6.23,#REF!,,,,,,
Kamren Curl,LAR,S,3.2,1.7,0.07,0.00,0.07,0.00,0.00,0.00,0.00,5.77,6.32,6.18,6.07,#REF!,,,,,,
Joey Porter,PIT,CB,2.6,0.7,0.00,0.00,0.18,0.00,0.00,0.19,0.01,5.69,5.65,5.69,6.17,#REF!,,,,,,
Malaki Starks,BAL,S,2.1,2.2,0.03,0.00,0.05,0.00,0.00,0.07,0.00,4.99,5.29,5.23,4.93,#REF!,,,,,,
Ashtyn Davis,MIA,S,2.6,1.5,0.02,0.00,0.07,0.00,0.00,0.00,0.00,4.72,5.17,5.13,4.97,#REF!,,,,,,
Travis Hunter,JAX,CB,1.5,1.1,0.00,0.00,0.17,0.00,0.00,0.04,0.01,3.67,3.53,3.57,3.78,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,
